sample_id,taxon,frequency
S064,Lipiniella moderata,8
S064,Microchironomus tener,8
S064,Parachironomus gracilior,10
S064,Paratendipes albimanus,8
S064,Polypedilum pedestre,9
S064,Polypedilum decematoguttatum,7
S064,Polypedilum nubeculosum,9
S064,Polypedilum sp.,9
S064,Tanytarsus tamakutibasi,8
S064,Tanytarsus sp.,10
S064,Potthastia sp.,10
S064,Thienemanniella sp.,11
S064,Corynoneura sp.,3
S064,Cricotopus bicinctus,9
S064,Cricotopus sylvestris,7
S064,Cricotopus triannulatus,9
S064,Cricotopus sp.,7
S064,Hydrobaenus sp.,5
S064,Orthocladius sp.,7
S064,Paratrichocladius rufiventris,5
S064,Propsilocerus akamusi,4
S064,Rheocricotopus sp.,5
S064,Procladius choreus,8
S064,Procladius sp.,9
S064,Rheopelopia sp.,8
S064,Cladopelma virescens,12
S064,Syrphidae sp.,2
S065,Musculium lacustre,3
S065,Hediste sp.,6
S065,Branchiura sowerbyi,6
S065,Bothrioneurum vejdoskynum,9
S065,Rhyacodrilus coccineus,11
S065,Limnodrilus claparedeianus,9
S065,Chaetogaster diaphanus,6
S065,Branchiodrilus hortensis,4
S065,Amphichaeta asiatica,6
S065,Nais variabilis,6
S065,Nais communis,1
S065,Slavina appendiculata,5
S065,Pristina biserrata,12
S065,Pristina longiseta,10
S065,Henlea sp.,8
S065,Lamprotus orientalis,5
S065,Erpobdella lineata,7
S065,Collembola sp.,8
S065,Choroterpes altioculus,10
S065,Rhoenanthus coreanus,9
S065,Ephoron shigae,8
S065,Ephemera orientalis,7
S065,Serratella setigera,5
S065,Dixidae sp.,8
S065,Benthalia sp.,5
S065,Chironomus circumdatus,11
S065,Chironomus edwardsi,4
S065,Cladotanytarsus vanderwulpi,8
S065,Cryptochironomus sp.,10
S065,Glyptotendipes tokunagai,7
S065,Lipiniella moderata,5
S065,Microchironomus tener,8
S065,Microchironomus sp.,4
S065,Nilothauma sp.,8
S065,Paratendipes albimanus,12
S065,Polypedilum pedestre,11
S065,Polypedilum nubifer,10
S065,Polypedilum decematoguttatum,9
S065,Polypedilum masudai,7
S065,Polypedilum cultellatum,5
S065,Polypedilum sp.,8
S065,Stictochironomus sp.,6
S065,Tanytarsus kiseogi,10
S065,Tanytarsus takahashii,10
S065,Tanytarsus tamagotoi,7
S065,Tanytarsus sp.,11
S065,Brillia japonica,2
S065,Cricotopus sp.,6
S065,Eukiefferiella sp.,5
S065,Hydrobaenus kondoi,9
S065,Hydrobaenus sp.,5
S065,Limnophyes tamakitanaides,7
S065,Orthocladius sp.,17
S065,Ablabesmyia monilis,8
S065,Ablabesmyia prorasha,10
S065,Ablabesmyia sp.,6
S065,Procladius choreus,8
S065,Saetheria tylus,7
S065,Cladopelma virescens,7
S065,Chironomidae sp.,7
S065,Ecnomus sp.,2
S066,Anodonta woodiana,4
S066,Bothrioneurum vejdoskynum,5
S066,Rhyacodrilus coccineus,9
S066,Tubifex tubifex,5
S066,Limnodrilus claparedeianus,13
S066,Nais variabilis,3
S066,Pristina longiseta,13
S066,Lumbriculus variegatus,3
S066,Lamprotus orientalis,5
S066,Gammarus sp.,4
S066,Procloeon maritimum,5
S066,Procloeon pennulatum,7
S066,Choroterpes altioculus,5
S066,Potamanthus formosus,5
S066,Rhoenanthus coreanus,9
S066,Ephoron shigae,5
S066,Ceratopogonidae sp.,3
S066,Chironomus circumdatus,4
S066,Demicryptochironomus sp.,1
S066,Lipiniella moderata,4
S066,Parachironomus gracilior,7
S066,Paratanytarsus sp.,3
S066,Paratendipes albimanus,6
S066,Polypedilum pedestre,9
S066,Polypedilum nubifer,1
S066,Tanytarsus kiseogi,9
S066,Tanytarsus takahashii,2
S066,Tanytarsus tamakutibasi,8
S066,Thienemanniella sp.,6
S066,Corynoneura sp.,3
S066,Cricotopus bicinctus,7
S066,Cricotopus triannulatus,6
S066,Cricotopus sp.,2
S066,Eukiefferiella sp.,5
S066,Orthocladius sp.,11
S066,Propsilocerus akamusi,6
S066,Ablabesmyia prorasha,8
S066,Conchapelopia sp.,4
S066,Rheopelopia sp.,7
S066,Saetheria tylus,6
S066,Cladopelma virescens,8
S066,Chironomidae sp.,11
S067,Anodonta woodiana,6
S067,Rhyacodrilus coccineus,10
S067,Haplotaxis gordioides,1
S067,Chaetogaster diaphanus,11
S067,Chaetogaster limnaei,5
S067,Pristina biserrata,5
S067,Lumbriculus variegatus,10
S067,Eisenia koreana,8
S067,Erpobdella lineata,1
S067,Gammarus sp.,2
S067,Procloeon maritimum,8
S067,Procloeon pennulatum,5
S067,Dixidae sp.,6
S067,Benthalia sp.,6
S067,Cladotanytarsus vanderwulpi,8
S067,Cryptochironomus sp.,8
S067,Demicryptochironomus sp.,5
S067,Microchironomus tener,2
S067,Paratendipes albimanus,3
S067,Paratendipes sp.,6
S067,Polypedilum cultellatum,3
S067,Tanytarsus kiseogi,4
S067,Tanytarsus tamakutibasi,3
S067,Potthastia sp.,3
S067,Thienemanniella sp.,9
S067,Corynoneura sp.,7
S067,Cricotopus bimaculatus,6
S067,Cricotopus triannulatus,4
S067,Paratrichocladius rufiventris,3
S067,Rheocricotopus sp.,10
S067,Ablabesmyia monilis,4
S067,Procladius sp.,1
S068,Anodonta woodiana,7
S068,Corbicula fluminea,6
S068,Rhyacodrilus coccineus,7
S068,Tubifex tubifex,3
S068,Limnodrilus claparedeianus,15
S068,Haplotaxis gordioides,5
S068,Amphichaeta asiatica,7
S068,Haemonais waldvogeli,2
S068,Nais variabilis,4
S068,Henlea sp.,5
S068,Lumbriculus variegatus,7
S068,Gnorimosphaeroma sp.,4
S068,Labiobaetis atrebatinus,2
S068,Procloeon maritimum,8
S068,Choroterpes altioculus,12
S068,Potamanthus formosus,5
S068,Rhoenanthus coreanus,5
S068,Ephoron shigae,6
S068,Ceratopogonidae sp.,1
S068,Chironomus circumdatus,5
S068,Chironomus flaviplumus,1
S068,Cryptochironomus sp.,9
S068,Dicrotendipes septemmaculatus,4
S068,Nilothauma sp.,2
S068,Parachironomus gracilior,5
S068,Paratendipes albimanus,16
S068,Paratendipes sp.,6
S068,Stictochironomus sinsauensis,10
S068,Tanytarsus kiseogi,6
S068,Tanytarsus tamagotoi,3
S068,Tanytarsus sp.,3
S068,Corynoneura sp.,6
S068,Cricotopus bicinctus,9
S068,Cricotopus bimaculatus,8
S068,Cricotopus triannulatus,4
S068,Eukiefferiella sp.,8
S068,Orthocladius sp.,4
S068,Ablabesmyia prorasha,8
S068,Ablabesmyia sp.,4
S068,Rheopelopia sp.,5
S068,Saetheria tylus,11
S068,Cladopelma virescens,4
S069,Anodonta woodiana,8
S069,Branchiura sowerbyi,6
S069,Bothrioneurum vejdoskynum,6
S069,Rhyacodrilus coccineus,9
S069,Tubifex tubifex,7
S069,Limnodrilus hoffmeisteri,8
S069,Haplotaxis gordioides,12
S069,Chaetogaster diaphanus,7
S069,Chaetogaster limnaei,4
S069,Opidonais sp.,10
S069,Haemonais waldvogeli,6
S069,Henlea sp.,4
S069,Lumbriculus variegatus,10
S069,Lamprotus orientalis,10
S069,Erpobdella lineata,10
S069,Cyprididae sp.,7
S069,Asellus sp.,6
S069,Gammarus sp.,5
S069,Monocorophium sp.,1
S069,Baetis fuscatus,8
S069,Labiobaetis atrebatinus,15
S069,Procloeon pennulatum,10
S069,Choroterpes altioculus,7
S069,Potamanthus formosus,5
S069,Rhoenanthus coreanus,4
S069,Ephoron shigae,9
S069,Ephemera orientalis,9
S069,Serratella setigera,6
S069,Caenis sp.,5
S069,Psychoda sp.,10
S069,Dixidae sp.,11
S069,Chironomus circumdatus,7
S069,Chironomus flaviplumus,12
S069,Cryptochironomus sp.,8
S069,Demicryptochironomus sp.,13
S069,Dicrotendipes nervosus,2
S069,Dicrotendipes septemmaculatus,6
S069,Harnischia japonica,7
S069,Harnischia sp.,5
S069,Lipiniella moderata,5
S069,Paratanytarsus sp.,4
S069,Paratendipes sp.,7
S069,Polypedilum asakawaense,3
S069,Polypedilum nubifer,6
S069,Polypedilum decematoguttatum,9
S069,Polypedilum masudai,9
S069,Polypedilum cultellatum,11
S069,Polypedilum nubeculosum,7
S069,Stictochironomus sinsauensis,6
S069,Tanytarsus kiseogi,5
S069,Tanytarsus takahashii,9
S069,Tanytarsus tamagotoi,6
S069,Thienemanniella sp.,6
S069,Brillia japonica,7
S069,Cricotopus bimaculatus,11
S069,Cricotopus triannulatus,7
S069,Cricotopus sp.,8
S069,Eukiefferiella sp.,13
S069,Hydrobaenus kondoi,8
S069,Hydrobaenus sp.,11
S069,Orthocladius sp.,3
S069,Paratrichocladius rufiventris,5
S069,Ablabesmyia monilis,10
S069,Ablabesmyia sp.,8
S069,Conchapelopia sp.,2
S069,Rheopelopia sp.,11
S069,Saetheria tylus,10
S069,Ephydridae sp.,5
S070,Anodonta woodiana,9
S070,Corbicula fluminea,6
S070,Tubifex tubifex,4
S070,Limnodrilus hoffmeisteri,5
S070,Haplotaxis gordioides,8
S070,Chaetogaster limnaei,3
S070,Amphichaeta asiatica,15
S070,Haemonais waldvogeli,13
S070,Pristina biserrata,13
S070,Pristina longiseta,9
S070,Mesenchytreanus sp.,7
S070,Lamprotus orientalis,7
S070,Eisenia koreana,11
S070,Helobdella stagnalis,7
S070,Cyprididae sp.,5
S070,Baetis fuscatus,12
S070,Procloeon maritimum,12
S070,Procloeon pennulatum,8
S070,Choroterpes altioculus,7
S070,Potamanthus formosus,8
S070,Rhoenanthus coreanus,11
S070,Ephoron shigae,8
S070,Ephemera orientalis,8
S070,Serratella setigera,6
S070,Caenis sp.,7
S070,Psychoda sp.,11
S070,Chironomus circumdatus,10
S070,Chironomus nipponensis,7
S070,Chironomus sp.,6
S070,Cryptochironomus sp.,7
S070,Dicrotendipes nervosus,8
S070,Dicrotendipes septemmaculatus,7
S070,Dicrotendipes sp.,5
S070,Lipiniella moderata,6
S070,Microchironomus tener,11
S070,Microchironomus sp.,3
S070,Microtendipes sp.,5
S070,Nilothauma sp.,5
S070,Parachironomus gracilior,14
S070,Paratanytarsus sp.,8
S070,Paratendipes albimanus,8
S070,Paratendipes sp.,13
S070,Polypedilum decematoguttatum,7
S070,Polypedilum cultellatum,7
S070,Stictochironomus sinsauensis,7
S070,Tanytarsus kiseogi,6
S070,Tanytarsus tamagotoi,11
S070,Tanytarsus formosanus,3
S070,Tanytarsus sp.,9
S070,Thienemanniella sp.,4
S070,Brillia japonica,7
S070,Corynoneura sp.,11
S070,Cricotopus bicinctus,10
S070,Cricotopus sylvestris,10
S070,Cricotopus sp.,9
S070,Hydrobaenus kondoi,5
S070,Hydrobaenus sp.,6
S070,Orthocladius glabripennis,8
S070,Orthocladius sp.,11
S070,Propsilocerus akamusi,9
S070,Rheocricotopus sp.,13
S070,Ablabesmyia prorasha,8
S070,Procladius choreus,5
S070,Saetheria tylus,7
S070,Cladopelma virescens,9
S070,Chironomidae sp.,11
S070,Ecnomus sp.,3
S071,Anodonta woodiana,5
S071,Bothrioneurum vejdoskynum,5
S071,Rhyacodrilus coccineus,4
S071,Limnodrilus hoffmeisteri,6
S071,Haplotaxis gordioides,4
S071,Chaetogaster limnaei,9
S071,Opidonais sp.,9
S071,Haemonais waldvogeli,3
S071,Pristina biserrata,6
S071,Pristina longiseta,8
S071,Henlea sp.,2
S071,Lumbriculus variegatus,6
S071,Lamprotus orientalis,8
S071,Gammarus sp.,7
S071,Cloeon dipterum,1
S071,Procloeon maritimum,6
S071,Choroterpes altioculus,12
S071,Potamanthus formosus,12
S071,Rhoenanthus coreanus,12
S071,Ephoron shigae,11
S071,Ephemera orientalis,9
S071,Benthalia sp.,3
S071,Chironomus circumdatus,7
S071,Chironomus flaviplumus,1
S071,Cladotanytarsus vanderwulpi,6
S071,Demicryptochironomus sp.,4
S071,Harnischia sp.,1
S071,Lipiniella moderata,4
S071,Microchironomus tener,4
S071,Paratendipes albimanus,6
S071,Paratendipes sp.,9
S071,Polypedilum pedestre,14
S071,Polypedilum masudai,5
S071,Polypedilum cultellatum,4
S071,Stictochironomus sinsauensis,9
S071,Tanytarsus kiseogi,4
S071,Tanytarsus takahashii,8
S071,Corynoneura sp.,7
S071,Cricotopus bimaculatus,9
S071,Cricotopus sylvestris,2
S071,Orthocladius glabripennis,2
S071,Orthocladius sp.,7
S071,Propsilocerus akamusi,14
S071,Rheocricotopus sp.,15
S071,Ablabesmyia sp.,3
S071,Procladius choreus,6
S071,Procladius sp.,4
S071,Cladopelma virescens,7
S072,Limnodrilus claparedeianus,8
S072,Chaetogaster limnaei,5
S072,Opidonais sp.,7
S072,Monocorophium sp.,1
S072,Procloeon maritimum,7
S072,Rhoenanthus coreanus,6
S072,Psychoda sp.,2
S072,Chironomus circumdatus,9
S072,Polypedilum nubifer,1
S072,Polypedilum cultellatum,1
S072,Cricotopus bimaculatus,7
S072,Eukiefferiella sp.,4
S072,Limnophyes tamakitanaides,2
S072,Orthocladius sp.,6
S073,Corbicula fluminea,13
S073,Musculium lacustre,7
S073,Branchiura sowerbyi,5
S073,Rhyacodrilus coccineus,8
S073,Tubifex tubifex,3
S073,Limnodrilus claparedeianus,7
S073,Limnodrilus hoffmeisteri,4
S073,Chaetogaster limnaei,3
S073,Haemonais waldvogeli,6
S073,Nais communis,4
S073,Pristina longiseta,8
S073,Lumbriculus variegatus,8
S073,Erpobdella lineata,10
S073,Gnorimosphaeroma sp.,10
S073,Asellus sp.,4
S073,Collembola sp.,6
S073,Baetis fuscatus,6
S073,Cloeon dipterum,4
S073,Procloeon maritimum,5
S073,Procloeon pennulatum,7
S073,Choroterpes altioculus,7
S073,Rhoenanthus coreanus,16
S073,Ephoron shigae,8
S073,Ephemera orientalis,8
S073,Psychoda sp.,5
S073,Dixidae sp.,7
S073,Chironomus circumdatus,9
S073,Cladotanytarsus vanderwulpi,7
S073,Cryptochironomus sp.,10
S073,Dicrotendipes nervosus,5
S073,Harnischia japonica,8
S073,Microchironomus tener,7
S073,Parachironomus gracilior,11
S073,Paratanytarsus sp.,9
S073,Paratendipes sp.,8
S073,Polypedilum nubifer,9
S073,Polypedilum masudai,8
S073,Polypedilum cultellatum,8
S073,Polypedilum sp.,7
S073,Stictochironomus sinsauensis,7
S073,Stictochironomus sp.,8
S073,Tanytarsus takahashii,6
S073,Tanytarsus tamagotoi,9
S073,Potthastia sp.,6
S073,Corynoneura sp.,6
S073,Cricotopus bicinctus,9
S073,Cricotopus triannulatus,8
S073,Cricotopus sp.,8
S073,Eukiefferiella sp.,7
S073,Orthocladius sp.,7
S073,Paratrichocladius rufiventris,1
S073,Propsilocerus akamusi,6
S073,Ablabesmyia monilis,6
S073,Procladius sp.,5
S073,Rheopelopia sp.,8
S073,Saetheria tylus,4
S073,Cladopelma edwardsi,1
S073,Cladopelma virescens,11
S073,Chironomidae sp.,9
S074,Corbicula fluminea,7
S074,Musculium lacustre,7
S074,Hediste sp.,7
S074,Branchiura sowerbyi,13
S074,Bothrioneurum vejdoskynum,7
S074,Tubifex tubifex,5
S074,Limnodrilus hoffmeisteri,13
S074,Haplotaxis gordioides,6
S074,Chaetogaster limnaei,9
S074,Opidonais sp.,7
S074,Amphichaeta asiatica,10
S074,Nais variabilis,6
S074,Nais communis,11
S074,Stylaria fossularis,10
S074,Pristina biserrata,7
S074,Pristina longiseta,5
S074,Henlea sp.,9
S074,Lamprotus orientalis,5
S074,Helobdella stagnalis,8
S074,Erpobdella sp.,4
S074,Gnorimosphaeroma sp.,7
S074,Asellus sp.,2
S074,Gammarus sp.,12
S074,Jesogammarus sp.,4
S074,Cloeon dipterum,10
S074,Labiobaetis atrebatinus,6
S074,Procloeon maritimum,5
S074,Potamanthus formosus,10
S074,Rhoenanthus coreanus,11
S074,Ephoron shigae,9
S074,Ephemera orientalis,4
S074,Serratella setigera,4
S074,Caenis sp.,9
S074,Psychoda sp.,4
S074,Ceratopogonidae sp.,8
S074,Chironomus kiiensis,7
S074,Cladotanytarsus vanderwulpi,5
S074,Demicryptochironomus sp.,12
S074,Dicrotendipes nervosus,4
S074,Dicrotendipes sp.,10
S074,Glyptotendipes tokunagai,9
S074,Harnischia japonica,9
S074,Microtendipes sp.,12
S074,Nilothauma sp.,13
S074,Parachironomus gracilior,4
S074,Parachironomus arcuatus,6
S074,Paratendipes albimanus,8
S074,Paratendipes sp.,11
S074,Polypedilum asakawaense,10
S074,Polypedilum nubifer,6
S074,Polypedilum decematoguttatum,11
S074,Polypedilum cultellatum,8
S074,Polypedilum nubeculosum,7
S074,Stictochironomus sinsauensis,7
S074,Stictochironomus sp.,5
S074,Tanytarsus takahashii,11
S074,Tanytarsus sp.,9
S074,Potthastia sp.,8
S074,Brillia japonica,10
S074,Cricotopus bicinctus,10
S074,Cricotopus bimaculatus,12
S074,Cricotopus sylvestris,7
S074,Cricotopus triannulatus,7
S074,Cricotopus sp.,9
S074,Hydrobaenus kondoi,9
S074,Hydrobaenus sp.,7
S074,Limnophyes tamakitanaides,9
S074,Orthocladius glabripennis,8
S074,Orthocladius sp.,12
S074,Rheocricotopus sp.,13
S074,Ablabesmyia monilis,7
S074,Ablabesmyia prorasha,14
S074,Ablabesmyia sp.,9
S074,Conchapelopia sp.,14
S074,Procladius choreus,5
S074,Rheopelopia sp.,6
S074,Tanypus punctipennis,1
S074,Cladopelma virescens,6
S074,Chironomidae sp.,7
S074,Ephydridae sp.,1
S074,Ecnomus sp.,6
S075,Anodonta woodiana,3
S075,Branchiura sowerbyi,2
S075,Bothrioneurum vejdoskynum,3
S075,Tubifex tubifex,4
S075,Limnodrilus claparedeianus,5
S075,Chaetogaster limnaei,10
S075,Opidonais sp.,5
S075,Amphichaeta asiatica,7
S075,Erpobdella lineata,7
S075,Gnorimosphaeroma sp.,3
S075,Baetis fuscatus,4
S075,Labiobaetis atrebatinus,3
S075,Procloeon maritimum,6
S075,Procloeon pennulatum,4
S075,Potamanthus formosus,5
S075,Ephoron shigae,11
S075,Ephemera orientalis,4
S075,Serratella setigera,2
S075,Chironomus circumdatus,10
S075,Cryptochironomus sp.,10
S075,Nilothauma sp.,7
S075,Parachironomus gracilior,5
S075,Paratendipes albimanus,5
S075,Paratendipes sp.,8
S075,Polypedilum pedestre,5
S075,Polypedilum decematoguttatum,8
S075,Polypedilum sp.,3
S075,Tanytarsus takahashii,9
S075,Tanytarsus tamakutibasi,6
S075,Thienemanniella sp.,6
S075,Corynoneura sp.,7
S075,Cricotopus bicinctus,6
S075,Cricotopus bimaculatus,10
S075,Eukiefferiella sp.,7
S075,Orthocladius sp.,9
S075,Propsilocerus akamusi,8
S075,Ablabesmyia monilis,6
S075,Ablabesmyia sp.,5
S075,Saetheria tylus,5
S076,Anodonta woodiana,7
S076,Corbicula fluminea,7
S076,Hediste sp.,5
S076,Branchiura sowerbyi,5
S076,Bothrioneurum vejdoskynum,6
S076,Tubifex tubifex,7
S076,Limnodrilus claparedeianus,5
S076,Limnodrilus hoffmeisteri,5
S076,Haplotaxis gordioides,12
S076,Chaetogaster limnaei,7
S076,Nais variabilis,8
S076,Nais communis,6
S076,Stylaria fossularis,7
S076,Pristina biserrata,13
S076,Lamprotus orientalis,7
S076,Eisenia koreana,9
S076,Erpobdella lineata,14
S076,Gammarus sp.,4
S076,Collembola sp.,8
S076,Baetis fuscatus,6
S076,Cloeon dipterum,9
S076,Labiobaetis atrebatinus,6
S076,Procloeon maritimum,9
S076,Procloeon pennulatum,7
S076,Choroterpes altioculus,7
S076,Potamanthus formosus,9
S076,Ephemera orientalis,5
S076,Serratella setigera,9
S076,Caenis sp.,7
S076,Dixidae sp.,8
S076,Ceratopogonidae sp.,5
S076,Benthalia sp.,9
S076,Chironomus circumdatus,6
S076,Chironomus flaviplumus,8
S076,Cladotanytarsus vanderwulpi,8
S076,Cryptochironomus sp.,7
S076,Dicrotendipes nervosus,10
S076,Dicrotendipes sp.,6
S076,Glyptotendipes tokunagai,7
S076,Harnischia japonica,7
S076,Lipiniella moderata,7
S076,Microchironomus tener,13
S076,Microchironomus sp.,1
S076,Nilothauma sp.,7
S076,Parachironomus gracilior,10
S076,Paratanytarsus grimmii,1
S076,Paratendipes albimanus,6
S076,Polypedilum pedestre,9
S076,Polypedilum nubifer,6
S076,Polypedilum sp.,7
S076,Stictochironomus sinsauensis,7
S076,Tanytarsus kiseogi,14
S076,Tanytarsus tamakutibasi,11
S076,Tanytarsus sp.,4
S076,Brillia japonica,13
S076,Cricotopus bimaculatus,10
S076,Cricotopus sp.,11
S076,Hydrobaenus kondoi,8
S076,Hydrobaenus sp.,6
S076,Orthocladius sp.,11
S076,Ablabesmyia monilis,11
S076,Ablabesmyia prorasha,8
S076,Procladius choreus,6
S076,Procladius sp.,8
S076,Rheopelopia sp.,10
S076,Saetheria tylus,9
S076,Chironomidae sp.,17
S077,Limnodrilus claparedeianus,12
S077,Chaetogaster limnaei,5
S077,Opidonais sp.,8
S077,Stylaria fossularis,1
S077,Pristina longiseta,6
S077,Lamprotus orientalis,6
S077,Erpobdella lineata,4
S077,Gnorimosphaeroma sp.,3
S077,Gammarus sp.,1
S077,Procloeon maritimum,12
S077,Procloeon pennulatum,5
S077,Choroterpes altioculus,8
S077,Dixidae sp.,8
S077,Cladotanytarsus vanderwulpi,10
S077,Demicryptochironomus sp.,6
S077,Microtendipes sp.,3
S077,Parachironomus gracilior,6
S077,Paratanytarsus sp.,8
S077,Paratendipes albimanus,7
S077,Paratendipes sp.,12
S077,Polypedilum asakawaense,1
S077,Polypedilum pedestre,13
S077,Polypedilum nubifer,7
S077,Polypedilum decematoguttatum,2
S077,Stictochironomus sp.,1
S077,Tanytarsus kiseogi,6
S077,Tanytarsus tamakutibasi,2
S077,Potthastia sp.,2
S077,Corynoneura sp.,8
S077,Cricotopus bicinctus,6
S077,Cricotopus sylvestris,1
S077,Eukiefferiella sp.,6
S077,Hydrobaenus sp.,3
S077,Rheocricotopus sp.,8
S077,Ablabesmyia prorasha,7
S077,Saetheria tylus,8
S078,Anodonta woodiana,8
S078,Corbicula fluminea,9
S078,Hediste sp.,2
S078,Bothrioneurum vejdoskynum,6
S078,Rhyacodrilus coccineus,8
S078,Limnodrilus udekimineanus,10
S078,Haplotaxis gordioides,11
S078,Chaetogaster diaphanus,7
S078,Chaetogaster limnaei,9
S078,Branchiodrilus hortensis,3
S078,Haemonais waldvogeli,5
S078,Nais variabilis,10
S078,Slavina appendiculata,8
S078,Pristina biserrata,7
S078,Pristina longiseta,8
S078,Mesenchytreanus sp.,10
S078,Lumbriculus variegatus,7
S078,Erpobdella lineata,14
S078,Gnorimosphaeroma sp.,12
S078,Asellus sp.,8
S078,Procloeon pennulatum,8
S078,Choroterpes altioculus,11
S078,Potamanthus formosus,9
S078,Rhoenanthus coreanus,6
S078,Ephoron shigae,8
S078,Caenis sp.,9
S078,Psychoda sp.,8
S078,Dixidae sp.,6
S078,Chironomus nipponensis,10
S078,Chironomus edwardsi,7
S078,Chironomus sp.,5
S078,Cladotanytarsus vanderwulpi,11
S078,Cryptochironomus sp.,8
S078,Demicryptochironomus sp.,4
S078,Dicrotendipes nervosus,8
S078,Microchironomus tener,8
S078,Microtendipes sp.,10
S078,Nilothauma sp.,11
S078,Parachironomus arcuatus,6
S078,Paratanytarsus sp.,12
S078,Paratendipes albimanus,6
S078,Polypedilum nubifer,6
S078,Polypedilum decematoguttatum,7
S078,Polypedilum masudai,11
S078,Polypedilum cultellatum,6
S078,Polypedilum nubeculosum,6
S078,Stictochironomus sinsauensis,5
S078,Stictochironomus sp.,5
S078,Tanytarsus kiseogi,8
S078,Tanytarsus takahashii,8
S078,Tanytarsus tamagotoi,10
S078,Tanytarsus sp.,5
S078,Thienemanniella sp.,9
S078,Brillia japonica,7
S078,Corynoneura sp.,7
S078,Cricotopus bimaculatus,6
S078,Cricotopus triannulatus,8
S078,Hydrobaenus kondoi,8
S078,Limnophyes tamakitanaides,4
S078,Orthocladius glabripennis,4
S078,Orthocladius sp.,11
S078,Rheocricotopus sp.,9
S078,Ablabesmyia longistyla,7
S078,Ablabesmyia monilis,5
S078,Ablabesmyia prorasha,8
S078,Ablabesmyia sp.,9
S078,Conchapelopia sp.,9
S078,Procladius choreus,10
S078,Procladius sp.,9
S078,Rheopelopia sp.,12
S078,Saetheria tylus,7
S078,Chironomidae sp.,7
S079,Corbicula fluminea,8
S079,Musculium lacustre,11
S079,Hediste sp.,9
S079,Branchiura sowerbyi,5
S079,Bothrioneurum vejdoskynum,5
S079,Tubifex tubifex,9
S079,Limnodrilus claparedeianus,6
S079,Limnodrilus hoffmeisteri,3
S079,Limnodrilus udekimineanus,3
S079,Haplotaxis gordioides,13
S079,Chaetogaster diaphanus,7
S079,Chaetogaster limnaei,8
S079,Opidonais sp.,7
S079,Pristina longiseta,7
S079,Henlea sp.,13
S079,Lumbriculus variegatus,9
S079,Eisenia koreana,4
S079,Erpobdella lineata,8
S079,Gnorimosphaeroma sp.,8
S079,Asellus sp.,2
S079,Monocorophium sp.,3
S079,Baetis fuscatus,10
S079,Rhoenanthus coreanus,7
S079,Ephoron shigae,14
S079,Caenis sp.,9
S079,Psychoda sp.,11
S079,Dixidae sp.,7
S079,Ceratopogonidae sp.,11
S079,Benthalia sp.,7
S079,Chironomus circumdatus,2
S079,Chironomus flaviplumus,15
S079,Cladotanytarsus vanderwulpi,10
S079,Cryptochironomus sp.,9
S079,Demicryptochironomus sp.,9
S079,Dicrotendipes nervosus,8
S079,Dicrotendipes sp.,5
S079,Harnischia japonica,8
S079,Harnischia sp.,9
S079,Lipiniella moderata,4
S079,Microchironomus tener,10
S079,Nilothauma sp.,6
S079,Paratanytarsus inopertus,5
S079,Paratanytarsus sp.,7
S079,Paratendipes sp.,5
S079,Polypedilum pedestre,7
S079,Polypedilum decematoguttatum,10
S079,Polypedilum cultellatum,14
S079,Polypedilum nubeculosum,5
S079,Polypedilum sp.,11
S079,Stictochironomus sinsauensis,11
S079,Stictochironomus sp.,11
S079,Tanytarsus kiseogi,7
S079,Tanytarsus takahashii,9
S079,Tanytarsus tamagotoi,11
S079,Tanytarsus tamakutibasi,4
S079,Potthastia sp.,8
S079,Thienemanniella sp.,5
S079,Cricotopus bimaculatus,3
S079,Cricotopus sylvestris,11
S079,Cricotopus triannulatus,7
S079,Cricotopus sp.,5
S079,Hydrobaenus kondoi,9
S079,Hydrobaenus sp.,5
S079,Orthocladius glabripennis,6
S079,Orthocladius sp.,7
S079,Rheocricotopus sp.,14
S079,Ablabesmyia monilis,11
S079,Ablabesmyia prorasha,9
S079,Conchapelopia sp.,13
S079,Hayesomyia tripunctata,2
S079,Procladius choreus,10
S079,Procladius sp.,6
S079,Saetheria tylus,6
S079,Cladopelma virescens,6
S079,Chironomidae sp.,8
S079,Syrphidae sp.,6
S080,Corbicula fluminea,4
S080,Branchiura sowerbyi,1
S080,Bothrioneurum vejdoskynum,2
S080,Rhyacodrilus coccineus,10
S080,Haplotaxis gordioides,5
S080,Pristina biserrata,11
S080,Mesenchytreanus sp.,1
S080,Lumbriculus variegatus,1
S080,Lamprotus orientalis,5
S080,Baetis fuscatus,6
S080,Procloeon maritimum,12
S080,Potamanthus formosus,11
S080,Rhoenanthus coreanus,9
S080,Ephoron shigae,6
S080,Ephemera orientalis,7
S080,Chironomus circumdatus,8
S080,Cladotanytarsus vanderwulpi,5
S080,Demicryptochironomus sp.,7
S080,Dicrotendipes nervosus,3
S080,Microchironomus tener,6
S080,Paratendipes albimanus,5
S080,Polypedilum pedestre,9
S080,Stictochironomus sinsauensis,1
S080,Tanytarsus kiseogi,10
S080,Tanytarsus tamagotoi,3
S080,Potthastia sp.,3
S080,Limnophyes tamakitanaides,2
S080,Orthocladius sp.,6
S080,Propsilocerus akamusi,7
S080,Ablabesmyia monilis,5
S080,Ablabesmyia prorasha,8
S080,Conchapelopia sp.,4
