sample_id,Ablabesmyia longistyla,Ablabesmyia monilis,Ablabesmyia prorasha,Ablabesmyia sp.,Amphichaeta asiatica,Anodonta woodiana,Asellus sp.,Baetis fuscatus,Benthalia sp.,Bothrioneurum vejdoskynum,Branchiodrilus hortensis,Branchiura sowerbyi,Brillia japonica,Caenis sp.,Ceratopogonidae sp.,Chaetogaster diaphanus,Chaetogaster limnaei,Chironomidae sp.,Chironomus circumdatus,Chironomus edwardsi,Chironomus flaviplumus,Chironomus kiiensis,Chironomus nipponensis,Chironomus sp.,Choroterpes altioculus,Cladopelma edwardsi,Cladopelma virescens,Cladotanytarsus vanderwulpi,Cloeon dipterum,Collembola sp.,Conchapelopia sp.,Corbicula fluminea,Corynoneura sp.,Cricotopus bicinctus,Cricotopus bimaculatus,Cricotopus sp.,Cricotopus sylvestris,Cricotopus triannulatus,Cryptochironomus sp.,Cyathura higoensis,Cyprididae sp.,Demicryptochironomus sp.,Dicrotendipes nervosus,Dicrotendipes pelochloris,Dicrotendipes septemmaculatus,Dicrotendipes sp.,Dixidae sp.,Ecnomus sp.,Eisenia koreana,Ephemera orientalis,Ephoron shigae,Ephydridae sp.,Erpobdella lineata,Erpobdella sp.,Eukiefferiella sp.,Gammarus sp.,Glyptotendipes tokunagai,Gnorimosphaeroma sp.,Haemonais waldvogeli,Haplotaxis gordioides,Harnischia japonica,Harnischia sp.,Harnischiagumsanea,Hayesomyia tripunctata,Hediste sp.,Helobdella stagnalis,Henlea sp.,Hydrobaenus kondoi,Hydrobaenus sp.,Jesogammarus sp.,Labiobaetis atrebatinus,Lamprotus orientalis,Limnodrilus claparedeianus,Limnodrilus hoffmeisteri,Limnodrilus udekimineanus,Limnophyes tamakitanaides,Lipiniella moderata,Lumbriculus variegatus,Mesenchytreanus sp.,Microchironomus sp.,Microchironomus tener,Microtendipes sp.,Monocorophium sp.,Musculium lacustre,Nais communis,Nais variabilis,Nilothauma sp.,Opidonais sp.,Orthocladius glabripennis,Orthocladius sp.,Parachironomus arcuatus,Parachironomus gracilior,Paratanytarsus grimmii,Paratanytarsus inopertus,Paratanytarsus sp.,Paratendipes albimanus,Paratendipes sp.,Paratrichocladius rufiventris,Polypedilum asakawaense,Polypedilum cultellatum,Polypedilum decematoguttatum,Polypedilum masudai,Polypedilum nubeculosum,Polypedilum nubifer,Polypedilum pedestre,Polypedilum sp.,Potamanthus formosus,Potthastia sp.,Pristina biserrata,Pristina longiseta,Procladius choreus,Procladius nigriventris,Procladius sp.,Procloeon maritimum,Procloeon pennulatum,Propsilocerus akamusi,Psychoda sp.,Rheocricotopus sp.,Rheopelopia sp.,Rhoenanthus coreanus,Rhyacodrilus coccineus,Saetheria tylus,Serratella setigera,Slavina appendiculata,Stictochironomus sinsauensis,Stictochironomus sp.,Stylaria fossularis,Syrphidae sp.,Tanypus punctipennis,Tanytarsus formosanus,Tanytarsus kiseogi,Tanytarsus sp.,Tanytarsus takahashii,Tanytarsus tamagotoi,Tanytarsus tamakutibasi,Thienemanniella sp.,Tubifex tubifex
S040,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,0,3,8,0,0,0,3,0,4,0,4,0,0,0,0,3,0,0,6,4,1,7,0,0,0,8,0,0,0,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,8,9,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,9,0,0,7,0,5,6,0,0,0,0,0,6,2,8,0,0,0,0,0,0,5,0,12,0,0,0,7,0,8,0,0,0,0
S041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S042,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,0,0
S043,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,5,0,3,10,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,7,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,7,5,0,1,5,0,0,0,0,8,9,0,8,0,0,5,0,0,0,0,0,9,0,9,9,0,0,0
S044,0,0,13,0,0,6,0,6,0,5,0,0,0,0,3,0,0,6,12,0,0,1,5,5,9,0,6,0,0,0,9,12,5,6,10,0,0,0,7,0,0,10,6,0,0,0,0,0,0,4,9,0,9,0,0,0,0,3,0,7,5,0,0,0,0,7,0,6,0,0,0,7,14,5,0,3,4,9,0,0,0,4,0,3,0,1,8,7,7,5,0,0,0,1,0,7,0,5,0,0,0,7,3,0,10,0,7,0,5,0,4,0,0,6,6,8,0,0,0,0,9,7,0,0,6,0,7,4,0,0,7,0,7,10,0,6,0
S045,0,2,12,0,4,0,0,6,2,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,0,0,5,5,0,1,0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,5,8,0,0,0,0,0,1,6,0,0,0,0,17,0,0,0,0,6,5,8,0,0,0,6,10,7,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
S046,0,7,2,8,5,6,0,4,0,0,0,8,4,11,0,4,0,0,6,0,5,0,0,0,0,0,10,8,0,0,0,7,3,0,8,8,0,9,5,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,4,0,14,0,0,12,10,0,0,0,0,8,0,0,0,0,1,7,0,0,0,9,0,6,0,6,0,0,12,0,0,0,2,0,0,0,7,7,0,3,0,13,8,9,0,0,8,0,0,13,0,7,4,0,4,0,2,0,7,7,5,0,0,0,6,0,9,10,0,5,7
S047,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,2,2,6,0,0,0,0,0,0,0,9,4,7,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,7,0,9,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,12,0,7,0,0,6,0
S048,0,11,11,13,10,9,0,0,0,0,7,0,0,7,13,8,10,12,10,0,15,0,10,7,6,7,0,7,10,0,12,12,5,9,8,0,4,11,0,0,0,9,12,0,12,0,7,0,13,0,10,0,6,0,10,9,0,9,7,0,7,8,11,0,11,4,6,7,6,0,6,4,9,9,0,0,4,13,0,4,0,9,3,8,3,8,0,10,0,4,7,0,0,3,0,0,7,5,4,0,0,7,0,0,6,10,0,6,6,9,0,0,6,11,11,0,8,10,3,6,0,6,6,0,0,8,8,7,0,0,8,0,0,9,0,10,9
S049,0,0,7,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,8,0,2,0,0,0,8,0,4,5,0,0,0,0,0,0,11,2,0,4,3,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,7,0,0,5,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,12,0,6,4,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,15,0,0,6,0,4,1
S050,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
S051,0,12,10,0,9,0,2,0,7,0,0,12,0,5,10,0,8,10,5,3,4,0,4,0,0,0,0,14,0,4,12,12,11,0,0,7,7,8,0,0,0,8,5,0,5,0,0,0,11,8,11,0,0,0,7,6,0,8,3,8,0,0,0,0,4,5,0,0,4,0,8,10,5,0,0,0,5,8,0,9,9,0,0,6,1,0,7,12,3,10,1,5,1,0,0,5,7,0,0,0,0,0,0,11,9,7,8,8,0,0,13,0,0,7,0,0,6,0,5,0,10,4,0,0,0,6,13,3,0,0,12,7,0,0,9,6,0
S052,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,13,5,6,6,0,0,6,0,0,6,0,0,0,0,0,3,0,7,7,0,0,0,10,0,0,0,0,4,2,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,11,1,0,0,6,0,6,0,0,7,8,0,0,0,7,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,2,6,0,0,8,0,0,0,10,0,0,6,14,0,2,8,0,6,0,0,0,11,0,0,0,7,4,0
S053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,2,0,6,8,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0
S054,0,0,0,4,0,0,0,0,1,0,0,0,0,7,0,8,9,7,0,0,0,0,1,0,0,0,5,8,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,12,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,8,0,8,2,9,11,4,0,0,8,0,2,3,4,6,0,0,4,0,0,0,1,7,0,0,0,16,0,0,0,5,9,0
S055,0,9,6,16,9,9,0,12,0,0,0,6,0,0,0,16,0,8,6,0,0,2,0,3,0,3,0,9,8,0,7,12,0,7,7,5,6,0,0,0,0,0,5,0,0,0,10,0,13,9,0,0,6,0,7,7,9,8,8,12,0,10,0,0,0,10,0,6,3,0,0,0,9,0,0,0,7,10,0,0,6,7,0,8,5,0,0,12,7,0,0,0,0,0,0,0,2,5,0,10,9,4,0,7,10,6,0,10,7,9,0,0,6,10,8,6,0,0,6,10,7,8,0,0,8,9,9,0,2,0,0,0,8,11,0,0,0
S056,7,7,12,10,0,0,8,0,10,11,0,0,6,7,8,6,11,5,5,7,8,6,9,0,5,0,0,0,0,10,0,3,7,11,0,9,0,7,8,0,0,0,7,0,9,7,9,0,4,0,0,0,0,6,0,10,10,11,5,0,6,8,0,0,9,10,11,12,7,5,0,0,11,0,0,0,0,0,4,11,11,5,9,11,0,9,11,10,10,5,8,0,8,4,0,0,0,9,0,7,5,9,0,0,8,9,7,7,0,8,7,0,6,0,8,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,6
S057,5,0,0,0,11,0,0,10,10,0,0,5,0,13,11,7,10,0,8,0,0,0,0,0,0,6,12,13,0,8,0,7,13,10,5,6,0,0,0,0,0,6,14,0,0,0,9,0,7,9,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,6,0,9,7,3,11,0,3,0,11,0,3,4,11,2,7,0,0,0,0,0,0,0,4,0,0,5,5,0,6,5,6,0,0,0,8,6,0,8,4,11,7,0,0,4,0,3,0,5,0,0,5,0,7,0,0,0,9,0,0,0,0,0,12,5,0,5,0,0
S058,0,0,9,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,2,2,0,0,0,0,8,4,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,4,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,3,3,0,0,0,0,0,0,8,12,0,10,1,9,0,5,0,0,8,0,0,0,10,0,4,0,12,0,0,0,0,1,0,0,0,5,0,0,0,9,10,0
S059,0,0,11,0,0,14,0,0,0,10,0,0,0,7,0,5,6,0,6,0,0,0,5,0,12,0,4,3,7,8,5,9,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,8,0,3,0,0,0,0,0,0,0,0,8,0,0,0,4,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,14,2,3,0,0,3,0,6,12,4,4,0,5,7,8,0,7,15,8,0,8,10,0,5,5,10,0,0,0,0,6,0,0,0,8,0,4,0,0,5,0
S060,0,5,7,5,0,0,4,11,0,7,0,0,9,8,10,10,0,0,7,0,3,0,10,8,0,0,6,8,0,7,7,10,7,11,5,0,6,0,0,0,0,4,8,0,0,0,6,0,4,9,13,0,0,0,6,7,0,0,7,0,0,0,0,0,0,5,5,0,5,0,0,0,0,12,0,4,0,8,0,2,9,12,0,5,0,5,8,6,3,0,0,9,0,0,0,0,0,6,0,7,8,5,0,4,0,7,10,0,6,0,11,0,6,0,0,0,6,0,0,14,4,7,0,0,0,0,7,0,0,0,0,11,7,7,8,8,10
S061,2,7,0,12,13,9,7,10,0,10,0,7,0,10,11,0,12,8,0,5,0,5,6,0,0,6,9,6,7,0,6,10,0,8,10,5,6,0,10,7,0,5,7,5,0,9,18,0,7,6,8,0,10,0,6,10,0,0,3,4,9,0,5,0,8,6,12,10,9,0,12,9,10,8,0,9,0,0,0,0,0,0,0,13,0,8,10,8,0,9,9,6,0,9,15,0,6,6,7,9,7,5,0,0,0,0,16,0,8,4,11,0,0,0,14,14,0,14,8,4,11,0,7,0,0,0,7,0,0,0,9,0,0,10,0,6,0
S062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
S063,0,6,8,0,0,4,0,0,0,0,0,2,1,0,0,4,0,0,4,0,0,0,0,0,9,0,0,5,3,0,4,0,0,0,7,0,0,0,5,0,0,6,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,8,0,6,7,0,0,0,6,0,6,0,0,1,0,8,0,0,0,4,0,0,0,0,0,0,0,5,8,10,6,5
S064,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,5,6,0,19,0,8,0,0,9,5,0,12,0,0,8,0,10,3,9,0,7,7,9,0,8,5,7,0,0,0,6,0,0,0,15,10,0,11,0,0,0,0,0,9,7,9,0,6,0,0,0,0,0,5,0,0,9,9,0,3,0,8,8,4,0,8,0,0,0,3,0,0,11,0,7,0,10,0,0,0,8,0,5,0,0,7,0,9,0,9,9,0,10,0,9,8,0,9,14,0,4,8,5,8,0,7,0,0,0,0,0,0,2,0,0,0,10,0,0,8,11,5
S065,0,8,10,6,6,0,0,0,5,9,4,6,2,0,0,6,0,7,11,4,0,0,0,0,10,0,7,8,0,8,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,8,2,0,7,8,0,7,0,5,0,7,0,0,0,0,0,0,0,6,0,8,9,5,0,0,5,9,0,0,7,5,0,0,4,8,0,0,3,1,6,8,0,0,17,0,0,0,0,0,12,0,0,0,5,9,7,0,10,11,8,0,0,12,10,8,0,0,0,0,0,0,0,0,9,11,7,5,5,0,6,0,0,0,0,10,11,10,7,0,0,0
S066,0,0,8,0,0,4,0,0,0,5,0,0,0,0,3,0,0,11,4,0,0,0,0,0,5,0,8,0,0,0,4,0,3,7,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,11,0,7,0,0,3,6,0,0,0,0,0,0,0,1,9,0,5,0,0,13,0,0,0,5,7,6,0,0,7,9,9,6,0,0,0,0,0,0,0,0,9,0,2,0,8,6,5
S067,0,4,0,0,0,6,0,0,6,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,6,0,0,4,8,0,0,5,0,0,0,0,6,0,8,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,1,8,5,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,3,9,0
S068,0,0,8,4,7,7,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,12,0,4,0,0,0,0,6,6,9,8,0,0,4,9,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,8,0,0,4,2,5,0,0,0,0,0,0,5,0,0,0,2,0,15,0,0,0,0,7,0,0,0,0,0,0,0,4,2,0,0,4,0,5,0,0,0,16,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,5,5,7,11,0,0,10,0,0,0,0,0,6,3,0,3,0,0,3
S069,0,10,0,8,0,8,6,8,0,6,0,6,7,5,0,7,4,0,7,0,12,0,0,0,7,0,0,0,0,0,2,0,0,0,11,8,0,7,8,0,7,13,2,0,6,0,11,0,0,9,9,5,10,0,13,5,0,0,6,12,7,5,0,0,0,0,4,8,11,0,15,10,0,8,0,0,5,10,0,0,0,0,1,0,0,0,0,10,0,3,0,0,0,0,4,0,7,5,3,11,9,9,7,6,0,0,5,0,0,0,0,0,0,0,10,0,10,0,11,4,9,10,6,0,6,0,0,0,0,0,5,0,9,6,0,6,7
S070,0,0,8,0,15,9,0,12,0,0,0,0,7,7,0,0,3,11,10,0,0,0,7,6,7,0,9,0,0,0,0,6,11,10,0,9,10,0,7,0,5,0,8,0,7,5,0,3,11,8,8,0,0,0,0,0,0,0,13,8,0,0,0,0,0,7,0,5,6,0,0,7,0,5,0,0,6,0,7,3,11,5,0,0,0,0,5,0,8,11,0,14,0,0,8,8,13,0,0,7,7,0,0,0,0,0,8,0,13,9,5,0,0,12,8,9,11,13,0,11,0,7,6,0,7,0,0,0,0,3,6,9,0,11,0,4,4
S071,0,0,0,3,0,5,0,0,3,5,0,0,0,0,0,0,9,0,7,0,1,0,0,0,12,0,7,6,1,0,0,0,7,0,9,0,2,0,0,0,0,4,0,0,0,0,0,0,0,9,11,0,0,0,0,7,0,0,3,4,0,1,0,0,0,0,2,0,0,0,0,8,0,6,0,0,4,6,0,0,4,0,0,0,0,0,0,9,2,7,0,0,0,0,0,6,9,0,0,4,0,5,0,0,14,0,12,0,6,8,6,0,4,6,0,14,0,15,0,12,4,0,0,0,9,0,0,0,0,0,4,0,8,0,0,0,0
S072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S073,0,6,0,0,0,0,4,6,0,0,0,5,0,0,0,0,3,9,9,0,0,0,0,0,7,1,11,7,4,6,0,13,6,9,0,8,0,8,10,0,0,0,5,0,0,0,7,0,0,8,8,0,10,0,7,0,0,10,6,0,8,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,8,0,0,7,0,0,7,4,0,0,0,0,7,0,11,0,0,9,0,8,1,0,8,0,8,0,9,0,7,0,6,0,8,0,0,5,5,7,6,5,0,8,16,8,4,0,0,7,8,0,0,0,0,0,0,6,9,0,0,3
S074,0,7,14,9,10,0,2,0,0,7,0,13,10,9,8,0,9,7,0,0,0,7,0,0,0,0,6,5,10,0,14,7,0,10,12,9,7,7,0,0,0,12,4,0,0,10,0,6,0,4,9,1,0,4,0,12,9,7,0,6,9,0,0,0,7,8,9,9,7,4,6,5,0,13,0,9,0,0,0,0,0,12,0,7,11,6,13,7,8,12,6,4,0,0,0,8,11,0,10,8,11,0,7,6,0,0,10,8,7,5,5,0,0,5,0,0,4,13,6,11,0,0,4,0,7,5,10,0,1,0,0,9,11,0,0,0,5
S075,0,6,0,5,7,3,0,4,0,3,0,2,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,11,0,7,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,9,0,5,0,0,0,5,8,0,0,0,8,0,0,0,5,3,5,0,0,0,0,0,0,6,4,8,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,9,0,6,6,4
S076,0,11,8,0,0,7,0,6,9,6,0,5,13,7,5,0,7,17,6,0,8,0,0,0,7,0,0,8,9,8,0,7,0,0,10,11,0,0,7,0,0,0,10,0,0,6,8,0,9,5,0,0,14,0,0,4,7,0,0,12,7,0,0,0,5,0,0,8,6,0,6,7,5,5,0,0,7,0,0,1,13,0,0,0,6,8,7,0,0,11,0,10,1,0,0,6,0,0,0,0,0,0,0,6,9,7,9,0,13,0,6,0,8,9,7,0,0,0,10,0,0,9,9,0,7,0,7,0,0,0,14,4,0,0,11,0,7
S077,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,8,6,0,0,1,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,4,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,6,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,8,7,12,0,1,0,2,0,0,7,13,0,0,2,0,6,0,0,0,12,5,0,0,8,0,0,0,8,0,0,0,1,1,0,0,0,6,0,0,0,2,0,0
S078,7,5,8,9,0,8,8,0,0,6,3,0,7,9,0,7,9,7,0,7,0,0,10,5,11,0,0,11,0,0,9,9,7,0,6,0,0,8,8,0,0,4,8,0,0,0,6,0,0,0,8,0,14,0,0,0,0,12,5,11,0,0,0,0,2,0,0,8,0,0,0,0,0,0,10,4,0,7,10,0,8,10,0,0,0,10,11,0,4,11,6,0,0,0,12,6,0,0,0,6,7,11,6,6,0,0,9,0,7,8,10,0,9,0,8,0,8,9,12,6,8,7,0,8,5,5,0,0,0,0,8,5,8,10,0,9,0
S079,0,11,9,0,0,0,2,10,7,5,0,5,0,9,11,7,8,8,2,0,15,0,0,0,0,0,6,10,0,0,13,8,0,0,3,5,11,7,9,0,0,9,8,0,0,5,7,0,4,0,14,0,8,0,0,0,0,8,0,13,8,9,0,2,9,0,13,9,5,0,0,0,6,3,3,0,4,9,0,0,10,0,3,11,0,0,6,7,6,7,0,0,0,5,7,0,5,0,0,14,10,0,5,0,7,11,0,8,0,7,10,0,6,0,0,0,11,14,0,7,0,6,0,0,11,11,0,6,0,0,7,0,9,11,4,5,9
S080,0,5,8,0,0,0,0,6,0,2,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,5,0,0,4,4,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,1,1,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,11,3,11,0,7,0,0,12,0,7,0,0,0,9,10,6,0,0,1,0,0,0,0,0,10,0,0,3,0,0,0
S081,4,0,5,0,0,0,0,6,0,8,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,6,7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,4,8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,7,0,0,0,0,6,0,7,0,0,0,0,0,0,8,3,0,0
S082,0,0,0,4,0,5,0,0,0,0,0,0,0,5,3,8,8,10,8,0,0,0,0,0,7,0,9,10,0,0,11,0,10,5,0,6,0,6,5,0,1,0,0,0,0,0,0,0,4,14,11,0,0,0,0,6,0,0,0,6,7,0,0,0,0,0,0,0,2,0,0,8,10,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,10,0,8,0,0,0,0,4,0,0,7,8,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,7,3,0,3,3,4,3,0,0,8,0,0,8,0,0,0
S083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S084,0,0,6,0,2,3,0,0,0,0,0,2,3,0,0,0,6,6,0,0,0,0,0,0,10,0,4,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
